Dataset,Model,Distributioanl disparity: Equal opportunity (TPR),Distributioanl disparity: Equalized odds,Distributioanl disparity: PR,Positive Rate Parity (Threshold = 0.5),Equalized odds Parity (Threshold = 0.5),Equal opportunity Parity (Threshold = 0.5),Total Accuracy (Threshold = 0.5),Minority Accuracy (Threshold = 0.5),Majority Accuracy (Threshold = 0.5),Total F1 (Threshold = 0.5),Minority F1 (Threshold = 0.5),Majority F1 (Threshold = 0.5),Positive Rate Parity (Threshold = 0.9),Equalized odds Parity (Threshold = 0.9),Equal opportunity Parity (Threshold = 0.9),Total Accuracy (Threshold = 0.9),Minority Accuracy (Threshold = 0.9),Majority Accuracy (Threshold = 0.9),Total F1 (Threshold = 0.9),Minority F1 (Threshold = 0.9),Majority F1 (Threshold = 0.9),Total AUC,Minority AUC,Majority AUC,Delta AUC
Walmart-Amazon,HierMatcher,0.1198746253746253,0.12075758076342705,0.021480824246095882,0.022936860527732902,0.12947803907150823,0.12887112887112884,0.9604685212298683,0.9739583333333334,0.959073774905762,0.7896103896103897,0.8,0.7888888888888889,0.0317548465266559,0.04353020114214157,0.036963036963037044,0.9551000488042948,0.9739583333333334,0.9531502423263328,0.7088607594936709,0.7058823529411765,0.7090301003344481,0.9406378417009112,0.9899547965846308,0.9378645235361653,0.052090273048465474
Fodors-Zagat,LogReg,0.01475000000000001,0.01748196778711486,0.03517575187969935,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019736842105263164,0.125,0.125,0.9947089947089947,0.9821428571428571,1.0,0.9767441860465116,0.9333333333333333,1.0,1.0,1.0,1.0,0.0
Walmart-Amazon,DITTO,0.12685514485514515,0.12289680724487088,0.03347592723478721,0.03371533387183629,0.14277358989653866,0.14935064935064934,0.9643728648121035,0.9583333333333334,0.9649973074851912,0.8042895442359249,0.6363636363636364,0.8148148148148148,0.02923061389337641,0.09347476799608412,0.09990009990009996,0.9648609077598829,0.9635416666666666,0.9649973074851912,0.7966101694915254,0.6666666666666666,0.8048048048048048,0.961576793371449,0.975891511803114,0.9634279153682139,0.012463596434900026
iTunes-Amazon,LogReg,0.10306818181818,0.14799501108647453,0.10596896086369655,0.08670715249662617,0.0812084257206207,0.05681818181818177,0.9174311926605505,0.9230769230769231,0.9122807017543859,0.8363636363636363,0.8181818181818182,0.8484848484848485,0.03913630229419701,0.03977272727272729,0.03977272727272729,0.926605504587156,0.9423076923076923,0.9122807017543859,0.8260869565217391,0.8421052631578947,0.8148148148148148,0.969286359530262,0.9578713968957872,0.989329268292683,0.03145787139689582
DBLP-ACM,HierMatcher,0.008751031121109898,0.009424519964629561,0.04050101084895606,0.04830197569923597,0.0020057952248109245,0.005249343832021025,0.9943388596845936,1.0,0.9931203931203931,0.9844097995545658,1.0,0.9818652849740933,0.05023728585372422,0.03549858565140063,0.03187101612298471,0.9939344925192074,0.9931506849315068,0.9941031941031941,0.9830508474576272,0.975609756097561,0.984251968503937,0.9995537676661382,1.0,0.9994747482441357,0.0005252517558642644
DBLP-ACM,LinReg,0.005368953880764881,0.007720489551865526,0.04441718555417208,0.044461647201373244,0.0077282177696349486,0.0053743282089738775,0.9745248685806712,0.9748858447488584,0.9744471744471744,0.9330499468650372,0.9185185185185185,0.9354838709677419,0.044461647201373244,0.0077282177696349486,0.0053743282089738775,0.9745248685806712,0.9748858447488584,0.9744471744471744,0.9330499468650372,0.9185185185185185,0.9354838709677419,0.9800766143176197,0.9787301587301588,0.9802403780543151,0.0015102193241562922
Walmart-Amazon,SVM,0.0771528417818739,0.08465764918494616,0.04066941116720922,0.03618139993427538,0.08455655651272848,0.08218125960061445,0.9516837481698389,0.9776536312849162,0.9491978609625669,0.6644067796610169,0.6,0.6666666666666666,0.03136856570967646,0.05529953917050695,0.05529953917050695,0.9511957052220595,0.9776536312849162,0.948663101604278,0.6503496503496503,0.6,0.6521739130434783,0.862549133464356,0.8147840531561461,0.8618368962787014,0.04705284312255531
Amazon-Google,DeepMatcher,0.11737162162162192,0.15223723384412555,0.08527304857532984,0.09732416997970685,0.17196801664886774,0.13063063063063063,0.9319668556476232,0.9859154929577465,0.9196572040707016,0.6517857142857143,0.6666666666666666,0.6511627906976745,0.07309559912591061,0.20839289137161482,0.18468468468468474,0.9328390754470126,0.9812206572769953,0.9217996786288163,0.6071428571428571,0.5,0.6117021276595744,0.8498773365213385,0.7936795491143318,0.8499055286289328,0.056225979514600954
DBLP-ACM,DeepMatcher,0.011118860142482237,0.00992407896775906,0.03848239148239138,0.04307046772800199,0.008328594959487345,0.01049868766404205,0.9947432268499797,0.997716894977169,0.9941031941031941,0.9854423292273237,0.9921259842519685,0.9843342036553525,0.03798256537982567,0.019705195858982005,0.01824771903512057,0.9931257581884351,0.9954337899543378,0.9926289926289926,0.9806157354618016,0.9841269841269841,0.9800266311584553,0.9993872630639511,0.9993650793650793,0.9993858838987327,2.0804533653384638e-05
Walmart-Amazon,DeepMatcher,0.3179715284715299,0.3122199292502683,0.035741375538502866,0.03641626278944534,0.34942699750978795,0.35914085914085914,0.9463152757442655,0.9322916666666666,0.9477652127086699,0.6820809248554913,0.3157894736842105,0.7033639143730887,0.04163301023155627,0.310135597065588,0.30969030969030975,0.9536359199609565,0.953125,0.9536887452880991,0.6964856230031949,0.4,0.7114093959731543,0.833496180989816,0.7780010045203416,0.8365622437264228,0.05856123920608125
DBLP-GoogleScholar,HierMatcher,0.036404797979798016,0.03659971076958867,0.04756166467388254,0.05954992838826312,0.05486499817166013,0.05618686868686873,0.9719609892023685,0.9643463497453311,0.9728313603725985,0.9276404494382022,0.874251497005988,0.9319727891156463,0.052607527156284264,0.04764168797648316,0.04949494949494948,0.9662138627655869,0.966044142614601,0.9662332621773724,0.9031936127744511,0.8648648648648649,0.90625,0.9958992126488285,0.9900049115913556,0.9964002261383957,0.006395314547040121
Beer,HierMatcher,0.0518444444444446,0.10953849206349206,0.13546120218579255,0.2344262295081967,0.06468253968253967,0.15555555555555556,0.8571428571428571,0.9508196721311475,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.8461538461538461,0.9180327868852459,0.7,0.0,0.0,0.0,0.8209647495361782,0.9464285714285714,0.5767195767195767,0.36970899470899465
Amazon-Google,LinReg,0.01890309633027549,0.03529047803374536,0.033223107745594185,0.033256364109703784,0.03532580383758285,0.018922018348623865,0.9075447012647188,0.9734693877551021,0.8896283971159179,0.3116883116883117,0.3157894736842105,0.31141868512110726,0.033256364109703784,0.03532580383758285,0.018922018348623865,0.9075447012647188,0.9734693877551021,0.8896283971159179,0.3116883116883117,0.3157894736842105,0.31141868512110726,0.5962503580279199,0.59375,0.5950091164298325,0.001259116429832452
Amazon-Google,HierMatcher,0.17582657657657685,0.20825181208035087,0.08644508525892014,0.10260114516773916,0.3336567107612436,0.29954954954954954,0.9363279546445704,0.9741784037558685,0.9276914836636315,0.6919831223628692,0.47619047619047616,0.7019867549668874,0.0527420908238217,0.10736055204140316,0.09459459459459463,0.9319668556476232,0.9812206572769953,0.920728441349759,0.559322033898305,0.5,0.5621301775147929,0.9422692951104802,0.9333735909822867,0.9394260521920097,0.006052461209723026
DBLP-ACM,SVM,0.01780477440319965,0.018660579020730053,0.03915992056813989,0.04755365577283385,0.009379386826949054,0.00037495313085866844,0.9636069551152446,0.9703196347031964,0.9621621621621622,0.9038461538461539,0.9022556390977443,0.9041095890410958,0.05815242390584857,0.11823824319420773,0.1146106736657918,0.9753336029114436,0.9680365296803652,0.9769041769041769,0.9272943980929678,0.875,0.9353507565337001,0.9937005758839175,0.9911957671957672,0.9941270188868472,0.0029312516910799946
